"","Date","Plot","EVI","EVI2","GNDVI","NDRE","NDVI","NGRDI","NIRRENDVI","RedEdgeNDVI","RENDVI","RGBVI","SAVI","VARI","PM","EXPT_YEAR","Crop","IRR","ET_wb","DAS","Kc"
"39",2020-12-10,23,0.301205725,0.156621845,0.204337108,0.054056381,0.100467091,-0.105713612,0.12054376,0.054056381,0.100467091,-0.267288006,0.150813871,-0.37744278,1.88963006671256,"2020-2021","Green beans",50,1.3,16,0.687965344593424
"40",2020-12-10,24,0.37037019,0.163620556,0.177955951,0.06922527,0.103931607,-0.074783617,0.124833849,0.06922527,0.103931607,-0.10465964,0.156363988,-0.193002094,1.88963006671256,"2020-2021","Green beans",100,0.97,16,0.513327987888939
"52",2020-12-11,13,0.463662316,0.371992077,0.217579186,0.005429864,0.221668552,0.007087104,0.266063348,0.005429864,0.221668552,0.11520362,0.332545249,-0.021719457,1.59050244978774,"2020-2021","Green beans",50,1.3,17,0.817351774700815
"53",2020-12-11,14,0.476519804,0.391692708,0.286863493,0.079099686,0.312896273,0.039319713,0.375475977,0.079099686,0.312896273,0.170770094,0.469297261,0.062099708,1.59050244978774,"2020-2021","Green beans",25,0.94,17,0.591008206322128
"54",2020-12-11,15,0.534328645,0.344312306,0.208514664,0.028016399,0.238189845,0.037183854,0.285884579,0.028016399,0.238189845,0.105035303,0.357373068,0.015548531,1.59050244978774,"2020-2021","Green beans",100,0.97,17,0.609870170353685
"55",2020-12-11,16,0.578241206,0.359370189,0.217712418,0.072394534,0.265496138,0.058532383,0.318603684,0.072394534,0.265496138,0.16189994,0.398282828,0.104991066,1.59050244978774,"2020-2021","Green beans",75,1.03,17,0.6475940984168
"56",2020-12-11,17,0.54505814,0.483117556,0.256976852,0.063699074,0.308180556,0.062615741,0.36987037,0.063699074,0.308180556,0.135643519,0.462236111,0.067486111,1.59050244978774,"2020-2021","Green beans",100,0.97,17,0.609870170353685
"57",2020-12-11,18,0.513901465,0.428798762,0.275200211,0.057102213,0.298714436,0.03374078,0.358429926,0.057102213,0.298714436,0.122270811,0.448113804,0.09302583,1.59050244978774,"2020-2021","Green beans",50,1.3,17,0.817351774700815
"58",2020-12-11,19,0.457367758,0.333116667,0.221308333,0.041516667,0.200358333,-0.019358333,0.240491667,0.041516667,0.200358333,0.132975,0.300558333,0.038046745,1.59050244978774,"2020-2021","Green beans",75,1.03,17,0.6475940984168
"60",2020-12-11,20,0.286351551,0.173483607,0.182349727,0.023606557,0.109644809,-0.073510929,0.131612022,0.023606557,0.109644809,-0.161189488,0.164740437,-0.288833333,1.59050244978774,"2020-2021","Green beans",25,0.94,17,0.591008206322128
"61",2020-12-11,21,0.269002849,0.192427441,0.191884817,0.033350785,0.122591623,-0.069371728,0.147068063,0.033350785,0.122591623,-0.023481675,0.183926702,-0.184136126,1.59050244978774,"2020-2021","Green beans",25,0.94,17,0.591008206322128
"62",2020-12-11,22,0.42507874,0.27836703,0.196127527,0.029346812,0.170528771,-0.02474339,0.204479005,0.029346812,0.170528771,0.060611916,0.256018663,-0.087977346,1.59050244978774,"2020-2021","Green beans",75,1.03,17,0.6475940984168
"63",2020-12-11,23,0.447626866,0.37310899,0.281851852,0.06376353,0.285314191,0.012646692,0.34244278,0.06376353,0.285314191,0.030748618,0.428148148,-0.078532539,1.59050244978774,"2020-2021","Green beans",50,1.3,17,0.817351774700815
"64",2020-12-11,24,0.538178771,0.465592506,0.280078401,0.06705098,0.31876911,0.050917287,0.382661701,0.06705098,0.31876911,0.038890669,0.478290866,-0.03553507,1.59050244978774,"2020-2021","Green beans",100,0.97,17,0.609870170353685
"76",2020-12-12,13,0.191573627,0.162948521,0.238118291,0.039090909,0.102116101,-0.137971522,0.12253012,0.039090909,0.102116101,0.159759627,0.153493976,-0.063958917,1.32004507792975,"2020-2021","Green beans",50,4.45,18,3.37109699842903
"77",2020-12-12,14,0.18890857,0.153199697,0.213472012,0.045572365,0.096722138,-0.11808119,0.116235502,0.045572365,0.096722138,-0.09748444,0.145539586,-0.27531396,1.32004507792975,"2020-2021","Green beans",25,1.95,18,1.47722228021048
"78",2020-12-12,15,0.238287485,0.18675301,0.208350967,0.042725283,0.11632251,-0.092604889,0.139675301,0.042725283,0.11632251,0.120284287,0.174987231,-0.084990396,1.32004507792975,"2020-2021","Green beans",100,1.77,18,1.34086330049874
"79",2020-12-12,16,0.250949002,0.175567721,0.206321979,0.060515004,0.110154096,-0.097108678,0.132250608,0.060515004,0.110154096,0.126767722,0.165648824,-0.05342117,1.32004507792975,"2020-2021","Green beans",75,1.53,18,1.15905132754976
"80",2020-12-12,17,0.224861023,0.159464021,0.194847498,0.020618893,0.100390879,-0.095140657,0.120568552,0.020618893,0.100390879,0.121648597,0.151092686,-0.069601276,1.32004507792975,"2020-2021","Green beans",100,1.8,18,1.36358979711736
"81",2020-12-12,18,0.198075045,0.159992624,0.209599213,0.026513401,0.10062208,-0.109987706,0.120730268,0.026513401,0.10062208,0.180816857,0.151222031,-0.046440281,1.32004507792975,"2020-2021","Green beans",50,4.68,18,3.54533347250514
"82",2020-12-12,19,0.219629901,0.180370112,0.224895251,0.023983939,0.112402235,-0.113746508,0.134874302,0.023983939,0.112402235,0.086539579,0.168861732,-0.124969035,1.32004507792975,"2020-2021","Green beans",75,1.84,18,1.39389179260886
"84",2020-12-12,20,0.210529994,0.171716144,0.239838846,0.016242578,0.107446989,-0.134441617,0.129120724,0.016242578,0.107446989,0.047619452,0.161735934,-0.167093582,1.32004507792975,"2020-2021","Green beans",25,2.7,18,2.04538469567604
"85",2020-12-12,21,0.183073064,0.139062767,0.218435098,0.04028608,0.088815115,-0.131428266,0.106573442,0.04028608,0.088815115,-0.068192882,0.133546114,-0.252978186,1.32004507792975,"2020-2021","Green beans",25,4.05,18,3.06807704351406
"86",2020-12-12,22,0.210234657,0.153575148,0.198948282,0.043149948,0.097664006,-0.102486984,0.117244012,0.043149948,0.097664006,-0.144623044,0.146771954,-0.3130399,1.32004507792975,"2020-2021","Green beans",75,2.02,18,1.53025077232059
"87",2020-12-12,23,0.208535803,0.154200366,0.187737072,0.050817247,0.098352825,-0.090397351,0.117965337,0.050817247,0.098352825,-0.252022243,0.147691983,-0.420666038,1.32004507792975,"2020-2021","Green beans",50,3.27,18,2.47718813142987
"88",2020-12-12,24,0.213216006,0.154009534,0.18180791,0.04419315,0.097775424,-0.084735169,0.117372881,0.04419315,0.097775424,-0.061673062,0.146869703,-0.23356485,1.32004507792975,"2020-2021","Green beans",100,1.81,18,1.37116529599024
"100",2020-12-13,13,0.321053027,0.21697346,0.245198442,0.099946433,0.137164597,-0.111191868,0.164642075,0.099946433,0.137164597,0.362620887,0.205847334,0.123883834,2.45689628298269,"2020-2021","Green beans",50,2.16,19,0.879157990901327
"101",2020-12-13,14,0.277831978,0.164831234,0.203593199,0.067824937,0.105663728,-0.099697733,0.126732997,0.067824937,0.105663728,0.07948397,0.158467254,-0.097491058,2.45689628298269,"2020-2021","Green beans",25,1.68,19,0.68378954847881
"102",2020-12-13,15,0.319543385,0.171590693,0.188896448,0.063287522,0.10951422,-0.080590557,0.13151177,0.063287522,0.10951422,0.133378691,0.164374745,-0.030776976,2.45689628298269,"2020-2021","Green beans",100,1.64,19,0.6675088449436
"103",2020-12-13,16,0.304604885,0.159878902,0.208086304,0.071064302,0.102239468,-0.107709364,0.122792086,0.071064302,0.102239468,0.188620626,0.153609074,0.016354398,2.45689628298269,"2020-2021","Green beans",75,1.7,19,0.691929900246415
"104",2020-12-13,17,0.374128162,0.177203628,0.196456053,0.073371911,0.112962152,-0.085020332,0.13555208,0.073371911,0.112962152,0.245717957,0.169652799,0.072483135,2.45689628298269,"2020-2021","Green beans",100,1.1,19,0.447719347218269
"105",2020-12-13,18,0.318863429,0.178814309,0.210290734,0.067634939,0.114196688,-0.098253065,0.137034509,0.067634939,0.114196688,0.254764558,0.171363924,0.056322144,2.45689628298269,"2020-2021","Green beans",50,2.54,19,1.03382467448582
"106",2020-12-13,19,0.351351785,0.198937099,0.214041078,0.0586635,0.12651733,-0.089510911,0.151818999,0.0586635,0.12651733,0.29919022,0.189802311,0.098938996,2.45689628298269,"2020-2021","Green beans",75,1.46,19,0.594245679035156
"108",2020-12-13,20,0.330084524,0.211752147,0.23753191,0.082650267,0.134506846,-0.106125551,0.16134602,0.082650267,0.134506846,0.188233929,0.201735902,-0.006561448,2.45689628298269,"2020-2021","Green beans",25,1.6,19,0.65122814140839
"109",2020-12-13,21,0.414783743,0.24035083,0.238051948,0.108724059,0.15206855,-0.088978444,0.182424689,0.108724059,0.15206855,0.221134021,0.228151024,0.077549873,2.45689628298269,"2020-2021","Green beans",25,2.57,19,1.04603520213723
"110",2020-12-13,22,0.402906641,0.220940864,0.238579402,0.099189369,0.14009701,-0.101602658,0.168041196,0.099189369,0.14009701,0.21502928,0.210077076,0.032299101,2.45689628298269,"2020-2021","Green beans",75,1.14,19,0.464000050753478
"111",2020-12-13,23,0.300088683,0.175091584,0.229768157,0.073207378,0.11178942,-0.120719867,0.134151403,0.073207378,0.11178942,-0.068895863,0.167666197,-0.215966146,2.45689628298269,"2020-2021","Green beans",50,3.13,19,1.27396505163016
"112",2020-12-13,24,0.344720805,0.160760135,0.194712838,0.070212556,0.102833615,-0.093317849,0.123368525,0.070212556,0.102833615,-0.122958519,0.154317286,-0.248056097,2.45689628298269,"2020-2021","Green beans",100,2.1,19,0.854736935598512
"124",2020-12-14,13,0.365270659,0.165192555,0.176119384,0.069827985,0.105369705,-0.071521181,0.126562259,0.069827985,0.105369705,0.403333333,0.158304236,0.222992532,2.44113938346079,"2020-2021","Green beans",50,1.44,20,0.589888479845226
"125",2020-12-14,14,0.338139378,0.156662365,0.192447169,0.062569769,0.10034683,-0.093448943,0.120522665,0.062569769,0.10034683,0.268019836,0.15072431,0.104230243,2.44113938346079,"2020-2021","Green beans",25,1.4,20,0.573502688738414
"126",2020-12-14,15,0.489400663,0.184467306,0.174548094,0.074873769,0.11758773,-0.05781747,0.141118404,0.074873769,0.11758773,0.160399265,0.176404948,0.035570003,2.44113938346079,"2020-2021","Green beans",100,1.48,20,0.606274270952038
"127",2020-12-14,16,0.355941504,0.163280054,0.191668167,0.066328231,0.104335885,-0.088833859,0.125207114,0.066328231,0.104335885,0.18136939,0.156778478,0.032036397,2.44113938346079,"2020-2021","Green beans",75,1.44,20,0.589888479845226
"128",2020-12-14,17,0.375798274,0.180220994,0.20505776,0.07434455,0.114839277,-0.0921999,0.1378001,0.07434455,0.114839277,0.152766194,0.172300352,-0.004619261,2.44113938346079,"2020-2021","Green beans",100,0.89,20,0.364583852126563
"129",2020-12-14,18,0.28632136,0.166988994,0.201216981,0.085102201,0.106704403,-0.096394654,0.127948113,0.085102201,0.106704403,0.211388421,0.16015566,0.015500168,2.44113938346079,"2020-2021","Green beans",50,1.61,20,0.659528092049176
"130",2020-12-14,19,0.303570444,0.179254725,0.218225978,0.09432659,0.114124301,-0.106434655,0.136960341,0.09432659,0.114124301,0.233815559,0.171245675,0.035584207,2.44113938346079,"2020-2021","Green beans",75,1.41,20,0.577599136515117
"132",2020-12-14,20,0.292748489,0.171083209,0.209112257,0.055748609,0.109076965,-0.102013031,0.130849735,0.055748609,0.109076965,0.198862505,0.163703,0.011191526,2.44113938346079,"2020-2021","Green beans",25,1.32,20,0.54073110652479
"133",2020-12-14,21,0.295968434,0.17497019,0.244405149,0.100116531,0.11196477,-0.136054201,0.134326558,0.100116531,0.11196477,0.0525484,0.1679729,-0.112031035,2.44113938346079,"2020-2021","Green beans",25,1.76,20,0.720974808699721
"134",2020-12-14,22,0.310787709,0.167489477,0.213048707,0.049619606,0.107062538,-0.108078773,0.128502706,0.049619606,0.107062538,0.101653638,0.160879435,-0.054805664,2.44113938346079,"2020-2021","Green beans",75,1.11,20,0.454705703214028
"135",2020-12-14,23,0.313146353,0.177501102,0.203622741,0.058735126,0.112635522,-0.092551785,0.135266637,0.058735126,0.112635522,0.106755307,0.169288233,-0.05812223,2.44113938346079,"2020-2021","Green beans",50,2.28,20,0.933990093088274
"136",2020-12-14,24,0.30126523,0.172157522,0.202253097,0.075460177,0.109361062,-0.094511504,0.131284956,0.075460177,0.109361062,-0.214901115,0.164269027,-0.341087602,2.44113938346079,"2020-2021","Green beans",100,1.8,20,0.737360599806532
"148",2020-12-15,13,0.300650902,0.18634991,0.221707609,0.063008987,0.118184542,-0.10584302,0.141790294,0.063008987,0.118184542,0.065982025,0.177337328,0.438310957,1.87954116706594,"2020-2021","Green beans",50,1.02,21,0.542685639385207
"149",2020-12-15,14,0.327528324,0.190699963,0.193271833,0.065852399,0.120884379,-0.073574416,0.14504797,0.065852399,0.120884379,0.252208427,0.181412054,0.063492273,1.87954116706594,"2020-2021","Green beans",25,1.07,21,0.569287876609972
"150",2020-12-15,15,0.346002797,0.182852279,0.182921687,0.058002881,0.115712415,-0.068048717,0.138906496,0.058002881,0.115712415,0.217018229,0.173732321,0.053795399,1.87954116706594,"2020-2021","Green beans",100,1.23,21,0.65441503572922
"151",2020-12-15,16,0.34219594,0.180109129,0.195913736,0.063914776,0.114316646,-0.082908367,0.137181708,0.063914776,0.114316646,0.147747748,0.171678503,-0.010257704,1.87954116706594,"2020-2021","Green beans",75,1.19,21,0.633133245949408
"152",2020-12-15,17,0.40854473,0.180384245,0.188421705,0.060760226,0.114555846,-0.075117752,0.137475554,0.060760226,0.114555846,0.183787627,0.171969426,0.039065194,1.87954116706594,"2020-2021","Green beans",100,0.71,21,0.377751768591664
"153",2020-12-15,18,0.326072027,0.172451961,0.194735588,0.059361601,0.109434651,-0.086547562,0.131405431,0.059361601,0.109434651,0.24264449,0.164437034,0.06783265,1.87954116706594,"2020-2021","Green beans",50,1.07,21,0.569287876609972
"154",2020-12-15,19,0.284314403,0.183086857,0.216917309,0.060891481,0.115771714,-0.102949386,0.138883566,0.060891481,0.115771714,0.354974442,0.173890856,0.125024402,1.87954116706594,"2020-2021","Green beans",75,1.19,21,0.633133245949408
"156",2020-12-15,20,0.327469509,0.190497092,0.200555251,0.037717546,0.120990892,-0.081024909,0.145237573,0.037717546,0.120990892,0.270400288,0.181627346,0.074588292,1.87954116706594,"2020-2021","Green beans",25,1.02,21,0.542685639385207
"157",2020-12-15,21,0.457902965,0.231997216,0.232776161,0.064221182,0.146694926,-0.088748576,0.176059724,0.064221182,0.146694926,0.238371227,0.220043022,0.070575721,1.87954116706594,"2020-2021","Green beans",25,1.35,21,0.718260405068656
"158",2020-12-15,22,0.324232169,0.169675926,0.211947874,0.049629566,0.107947531,-0.105913923,0.129562757,0.049629566,0.107947531,0.184196693,0.16215535,0.02328046,1.87954116706594,"2020-2021","Green beans",75,0.8,21,0.425635795596241
"159",2020-12-15,23,0.330139367,0.174016944,0.18894821,0.045966427,0.110434783,-0.079502877,0.132591113,0.045966427,0.110434783,0.097130754,0.165920716,-0.052412231,1.87954116706594,"2020-2021","Green beans",50,1.69,21,0.899155618197058
"160",2020-12-15,24,0.392988208,0.186410625,0.189373056,0.064690117,0.117525724,-0.072591529,0.141143814,0.064690117,0.117525724,0.159651076,0.176590093,0.01860223,1.87954116706594,"2020-2021","Green beans",100,1.22,21,0.649094588284267
"172",2020-12-16,13,0.260594254,0.18366439,0.188383764,0.063583026,0.114832103,-0.073787823,0.137881919,0.063583026,0.114832103,-0.128337638,0.172721402,-0.232065959,2.10478493945729,"2020-2021","Green beans",50,0.89,22,0.422846051069466
"173",2020-12-16,14,0.287989163,0.188437238,0.156094493,0.051126642,0.117970366,-0.037587364,0.141587923,0.051126642,0.117970366,0.239644954,0.177117696,0.51409002,2.10478493945729,"2020-2021","Green beans",25,0.92,22,0.437099288745965
"174",2020-12-16,15,0.300505486,0.212114246,0.196907001,0.038718217,0.131083246,-0.065921282,0.157293626,0.038718217,0.131083246,0.264697573,0.196774643,0.077011952,2.10478493945729,"2020-2021","Green beans",100,1.05,22,0.49886331867746
"175",2020-12-16,16,0.450037931,0.174533407,0.132426836,0.069839867,0.109867477,-0.021902264,0.131869133,0.069839867,0.109867477,0.284729923,0.16512148,0.154632752,2.10478493945729,"2020-2021","Green beans",75,1.02,22,0.484610081000961
"176",2020-12-16,17,0.404249714,0.250662651,0.190903614,0.038984509,0.154552496,-0.036144578,0.185473322,0.038984509,0.154552496,0.006974717,0.231824441,-0.11413252,2.10478493945729,"2020-2021","Green beans",100,0.75,22,0.356330941912472
"177",2020-12-16,18,0.283486818,0.200458777,0.201525931,0.042878989,0.124281915,-0.0775,0.14918883,0.042878989,0.124281915,0.201003834,0.186745346,0.022143604,2.10478493945729,"2020-2021","Green beans",50,0.79,22,0.37533525881447
"178",2020-12-16,19,0.294590217,0.181087809,0.180933917,0.043854513,0.11401026,-0.067453229,0.136772782,0.043854513,0.11401026,0.158501283,0.171044056,-0.008799559,2.10478493945729,"2020-2021","Green beans",75,1.01,22,0.479859001775462
"180",2020-12-16,20,0.257310669,0.17980811,0.191065396,0.041141409,0.11328668,-0.078554537,0.135961631,0.041141409,0.11328668,0.150775673,0.170045849,-0.038153234,2.10478493945729,"2020-2021","Green beans",25,0.9,22,0.427597130294966
"181",2020-12-16,21,0.291853637,0.181764473,0.183785176,0.015350773,0.113931827,-0.070063417,0.136908442,0.015350773,0.113931827,0.187834448,0.171248514,0.025089921,2.10478493945729,"2020-2021","Green beans",25,1.17,22,0.555876269383456
"182",2020-12-16,22,0.281082121,0.196301423,0.196193772,0.02165833,0.122106882,-0.074386774,0.146566705,0.02165833,0.122106882,0.158781163,0.18342945,-0.011044717,2.10478493945729,"2020-2021","Green beans",75,0.7,22,0.332575545784973
"183",2020-12-16,23,0.335734144,0.256259649,0.204561404,0.013981742,0.156385965,-0.047410526,0.187796491,0.013981742,0.156385965,0.008450604,0.23477193,-0.140974395,2.10478493945729,"2020-2021","Green beans",50,1.15,22,0.546374110932456
"184",2020-12-16,24,0.323021926,0.210720756,0.184281213,0.043175729,0.129901536,-0.053918866,0.155962978,0.043175729,0.129901536,-0.122890563,0.195297361,-0.252141119,2.10478493945729,"2020-2021","Green beans",100,0.81,22,0.384837417265469
"196",2020-12-17,13,0.315025144,0.203321613,0.208322203,0.083181019,0.128176919,-0.081613357,0.153868776,0.083181019,0.128176919,-0.112227299,0.192267135,-0.091883009,2.36764428805927,"2020-2021","Green beans",50,0.56,23,0.23652201592285
